dni,nombre,apellido,ciudad,direccioncalle,direccionnum,telefono,fechanacimiento,varon
15151515Z,Malena,Folgado,Logroño,Obispo Fidel,3,941676767,1980-05-05,0
16161616A,Juan,Ramírez,Haro,Pez,34,941111111,1969-01-01,1
17171717A,Laura,Beltran,Madrid,Gran Vía,23,912121212,1974-08-08,0
18181818A,Pepe,Pérez,Madrid,Percebe,13,913131313,1980-02-02,1
18181818H,Malena,Folgado,Logroño,Comunidad,11,941151515,1982-06-06,0
19191919A,Juan,Sánchez,Bilbao,Melancolía,7,944141414,1966-03-03,1
20202020A,Juan,Jiménez,Logroño,Cigüeña,15,941151515,1979-03-03,1
21212121A,Rosa,García,Logroño,Alegría,16,941161616,1978-04-04,0
23232323A,Jorge,Sáenz,Logroño,Luis de Ulloa,17,941171717,1978-09-09,1
24242424A,María,Gutierrez,Logroño,Avda. la Paz,18,941181818,1964-10-10,0
25252525A,Rosario,Díaz,Logroño,Percebe,19,941191919,1971-11-11,0
26262626A,Elena,González,Logroño,Percebe,20,941202020,1975-05-05,0
